Compounds.ID	B1	B2	B3	B4	B5	BD1	BD2	BD3	BD4	BD5	BF1	BF2	BF3	BF4	BF5	BFD1	BFD2	BFD3	BFD4	BFD5	BFK1	BFK2	BFK3	BFK4	BFK5	BK1	BK2	BK3	BK4	BK5	D1	D2	D3	D4	D5	F1	F2	F3	F4	F5	FD1	FD2	FD3	FD4	FD5	FK1	FK2	FK3	FK4	FK5	K1	K2	K3	K4	K5	M1	M2	M3	M4	M5	QC1	QC10	QC11	QC12	QC13	QC2	QC3	QC4	QC5	QC6	QC7	QC8	QC9
c3517	3806442	3402194	3895947	3539022	3240064	1871666	1839998	1714646	1441757	1403279	3697901	4210104	2912747	2958660	3056861	1858384	1507764	1971776	1611460	1582028	1165498	1565840	1820429	1248364	926329.7	1778508	1253266	2485205	1542126	1430339	1822557	2033943	1706628	1700413	2008644	1534049	2138684	1821398	1831246	1879874	1610423	2129005	2127628	2046721	1758561	1291907	1442278	1273200	1499935	1518249	1622751	1955230	1973528	1960995	1931936	1626700	1423121	1342046	1838974	1423517	2766074	2788823	2876199	2722424	2857466	2631651	2733442	2707518	2760923	2784308	3090267	2714622	2746486
c3518	6286577	5269707	6154105	245323.2	2388322	6124993	6502225	2716536	3044105	3617584	437577.3	6703413	5978538	3915081	3649576	6613454	6434406	6223128	6793280	5041785	6386860	7170174	988493.9	5882056	6243541	6756564	6338001	8342677	4767786	4339414	7250135	7382763	7219849	672693.3	1441382	3736573	7288544	6370654	444239.6	2395609	2818838	7145117	6766787	3194698	3343159	4955018	7625628	6829646	1072191	5124504	7419181	7944235	8027458	1108820	3150412	6389628	6662599	6636274	490816.8	437258.4	6513653	6510507	6283758	6420601	6254224	6404708	6548802	6384357	6433400	6443351	6471236	6424123	6452987
c3519	3411032	3912680	4528438	5008794	4423617	2004420	2158829	2765242	2194164	1871903	5837535	4333764	2786276	4308969	3018031	2004852	1787271	1863514	2531121	2137476	2136165	1885886	3371570	2821210	1729753	1741926	1599717	2362506	2003042	1795385	1829420	2967312	1805917	2088799	2092059	1809073	1846137	2150542	1927068	2636854	1830296	2954408	3051905	2595517	2564190	1951716	1902991	2048769	2506677	3473497	2203974	2719328	2467144	2806262	2189640	1700785	1720265	1550865	2180981	1675049	3745409	3660543	3685987	3513420	3605708	3613842	3688845	3708175	3700102	3653862	3697678	3666561	3646094
c352	38711044	43228903	54669084	62434051	53537124	17098362	14792475	26375009	17981890	15028654	61192085	45936051	26589550	52117503	34007102	15753470	13953818	14241193	17932229	16647818	14044660	13168017	21319178	18235691	8920631	17033086	12190651	19795860	13953605	13049912	12657820	22669207	14790088	17675003	18830684	9998504	10805062	11261868	12870819	16077602	12700805	20678288	17920558	19001093	17637158	14749402	13887571	16346155	19086518	23875427	18540161	21324593	20598110	23480444	17613937	15991238	15412460	12342523	20502792	14360370	30331372	30290305	31113781	29439572	30602598	30772521	30764245	30087711	30132078	30211538	31394342	30898548	30470879
c3520	3235267	1671523	2755994	314420.2	864205.5	1831018	1763801	319502.3	685444.6	1079368	271286.4	3207800	1743227	1580429	1774917	2122823	1670944	2027455	2063023	1386820	1418510	1820264	405593.5	678592.4	1240672	1852075	2354136	2287640	1038236	816655.8	1965848	2072142	1620249	489640.5	369925.4	2822915	2790651	2896936	271727.7	1046848	663268.1	1868653	1760248	846466.4	558690.6	1830018	2605865	1196074	367395.1	1100446	1688839	2365866	2319294	399275.1	1134374	2066869	2928910	1834827	468023	385612.1	2615091	2173200	2553749	2598853	2777961	2621889	2667081	2761408	2642097	2651489	2703113	2765997	2712374
c3521	1744948	1888017	2102342	1071596	1384400	3404295	2758828	2404944	1990051	2024588	1882466	2496739	2224084	1725825	1724099	3065484	3280744	3587899	2562945	2447093	4565757	5821621	4486762	3988368	2938665	2614341	2389126	3078385	1767301	1810955	4108221	3982858	3434963	2850687	3628236	1980296	2235052	1958019	2340841	2365974	3821128	4426793	3828087	3329687	3964290	4722533	5010148	4826605	4310544	4049196	3318906	3877757	3574926	2990215	2875268	1872190	1833367	1881345	2020837	2327395	3618838	3526405	3460389	3491420	3341840	3369670	3659277	3425595	3470533	3480743	3442852	3517702	3499493
c3522	2038715	303941.4	1318013	3043528	1199298	2754781	6734173	12698392	24087487	6192300	388798.1	419589.5	219529.9	390548.2	552339.6	2166466	1593753	1362073	790962.4	2944342	1807952	1386366	7519034	2050300	1423808	9729386	9381580	19359058	10981449	5624288	4439990	10460334	2588464	21399773	6084629	393356.6	294016.7	213257.6	337865.7	351888.3	3802865	2508131	992257.9	6225174	3158878	9145226	4480364	1457185	8603262	6952006	5005312	66691195	15421165	94642599	13762614	5926643	5147002	8403812	8350893	6660954	10627212	12619348	13404268	12170469	12180337	13174198	12310352	12550093	12483822	12457727	12645095	12401014	12419051
c3523	3748015	2448148	3396097	3451525	3058470	152668.7	157018.3	244026.4	686473.2	472588.1	2786399	3063148	2190087	2371900	1902153	145535.1	140767.4	414205.6	454605.9	173674.1	196175.7	131288.3	210034.5	162203.9	152330.7	171979.6	174052	321948.3	340176.5	174108.2	149795	222060.8	153343.6	953278.9	188539.6	1844176	1966658	1312190	1803275	1073863	289921.7	164704.8	136389	339396.5	378627.8	159694.6	161161.1	132890.3	354447.5	308669.5	172354.9	207102.3	190217.6	329056.9	616658	2764897	2510093	3362922	3251623	3104538	1704421	1616417	1577154	1653171	1615097	1502896	1615995	1600629	1633770	1645950	1748676	1625473	1598486
c3524	4749911	3980269	5414884	4956435	5733111	5081492	5462517	5119949	4763346	6035316	4846101	3900369	5042256	4517859	4475718	5271906	4798590	5466489	5048501	5015186	6133221	5168403	6012205	5313756	4367197	4704967	6517254	5201331	5513113	5296820	4085569	4765003	4098562	4705303	4974192	4448277	5362437	4364849	5008321	4098082	4957982	4709215	4988254	4318778	5236058	4815623	4490503	4462840	5412889	5539033	5071621	4651168	5224014	5227424	4903334	3946352	3832395	3728294	4557628	4980954	6381901	5838975	5617233	6157398	5834797	6032924	5770849	5987163	5772378	5833706	6005094	5962314	5911160
c3525	130615.7	139296.6	137849.6	129431.6	134038.9	3594739	4206602	451519.8	1510504	864784.4	149679.4	140878.7	112513.7	127108.5	128549.8	3114541	3432322	2591417	2286881	1606166	152834.3	341377.4	193011	148565.9	149589.2	144039.5	166398.3	740705.3	178858.2	134585.9	112396	132693.9	125341	160831	131273.5	116014.5	137750.2	128973.8	134735.9	140918.9	123104	126680.1	136410.9	146901.9	132771.5	147273.8	147276.4	134736	157112.3	149010	146372.8	161746.7	153935.2	194579.1	140851.1	129021.4	148424.2	139767.7	152679.4	137702.8	519017.9	524387.2	530412.7	489665.7	494213.1	483405.4	502702.6	438855	540664.2	480693.3	503010.5	534098.9	497100.5
