bgc	BGC of	coculture	LFC
Bc_Ga0417192_01_rn22	Bcer	Pairwise with Pkor	-2.81906314964309
Bc_Ga0417192_01_rn23	Bcer	Pairwise with Pkor	-0.267591659933783
Bc_Ga0417192_01_rn24	Bcer	Pairwise with Pkor	0.562961762685376
Bc_Ga0417192_01_rn25	Bcer	Pairwise with Pkor	0.0493418850386108
Bc_Ga0417192_01_rn26	Bcer	Pairwise with Pkor	0.609791560071869
Bc_Ga0417192_01_rn27	Bcer	Pairwise with Pkor	0.0451694949383591
Bc_Ga0417192_01_rn28	Bcer	Pairwise with Pkor	-0.388147234142679
Bc_Ga0417192_01_rn29	Bcer	Pairwise with Pkor	0.00123244581762984
Bc_Ga0417192_01_rn30	Bcer	Pairwise with Pkor	0.313891715414562
Bc_Ga0417192_01_rn31	Bcer	Pairwise with Pkor	-0.269966358964442
Bc_Ga0417192_01_rn32	Bcer	Pairwise with Pkor	-2.02811514128217
Bc_Ga0417192_01_rn33	Bcer	Pairwise with Pkor	-0.292441789628475
Bc_Ga0417192_01_rn34	Bcer	Pairwise with Pkor	0.719224661929035
Bc_Ga0417192_01_rn35	Bcer	Pairwise with Pkor	-0.415426255554313
Bc_Ga0417192_01_rn36	Bcer	Pairwise with Pkor	0.629947899649735
Bc_Ga0417192_01_rn37	Bcer	Pairwise with Pkor	-0.420818618903587
Bc_Ga0417192_01_rn38	Bcer	Pairwise with Pkor	-1.21215366604703
Bc_Ga0417192_02_rn01	Bcer	Pairwise with Pkor	0.740324900973745
Bc_Ga0417192_02_rn02	Bcer	Pairwise with Pkor	0.235681413595491
Bc_Ga0417192_02_rn03	Bcer	Pairwise with Pkor	0.882132751523282
Bc_Ga0417192_02_rn04	Bcer	Pairwise with Pkor	-0.780284088208274
Bc_Ga0417192_03_rn01	Bcer	Pairwise with Pkor	1.28116106572671
Bc_Ga0417192_03_rn02	Bcer	Pairwise with Pkor	-0.615075176124493
Bc_Ga0417192_01_rn01	Bcer	Three-member	-0.185646867571827
Bc_Ga0417192_01_rn02	Bcer	Three-member	1.32985824152735
Bc_Ga0417192_01_rn03	Bcer	Three-member	2.31055677412052
Bc_Ga0417192_01_rn04	Bcer	Three-member	0.105662443119924
Bc_Ga0417192_01_rn05	Bcer	Three-member	1.88498654182454
Bc_Ga0417192_01_rn06	Bcer	Three-member	-0.139674173926127
Bc_Ga0417192_01_rn07	Bcer	Three-member	2.49062377560246
Bc_Ga0417192_01_rn08	Bcer	Three-member	-0.0806054888676359
Bc_Ga0417192_01_rn09	Bcer	Three-member	-0.462489973608736
Bc_Ga0417192_01_rn10	Bcer	Three-member	0.365733514923667
Bc_Ga0417192_01_rn11	Bcer	Three-member	-0.547297794454355
Bc_Ga0417192_01_rn12	Bcer	Three-member	-0.220559639742085
Bc_Ga0417192_01_rn13	Bcer	Three-member	-1.23210243929848
Bc_Ga0417192_01_rn14	Bcer	Three-member	0.214829147925063
Bc_Ga0417192_01_rn15	Bcer	Three-member	-0.545133215444951
Bc_Ga0417192_01_rn16	Bcer	Three-member	0.668338533910568
Bc_Ga0417192_01_rn17	Bcer	Three-member	-0.744797627127848
Bc_Ga0417192_01_rn18	Bcer	Three-member	0.0512833984403805
Bc_Ga0417192_01_rn19	Bcer	Three-member	1.0543443145844
Bc_Ga0417192_01_rn20	Bcer	Three-member	-0.345227708800131
Bc_Ga0417192_01_rn21	Bcer	Three-member	0.644743988587545
Bc_Ga0417192_01_rn22	Bcer	Three-member	-2.52519936030574
Bc_Ga0417192_01_rn23	Bcer	Three-member	-0.27715545531409
Bc_Ga0417192_01_rn24	Bcer	Three-member	0.386148779531615
Bc_Ga0417192_01_rn25	Bcer	Three-member	-0.0271433785409994
Bc_Ga0417192_01_rn26	Bcer	Three-member	0.627610287713159
Bc_Ga0417192_01_rn27	Bcer	Three-member	-0.0379260498758343
