bgc	BGC of	coculture	LFC
Bc_Ga0417192_01_rn26	Bcer	Pairwise with Pkor	0.60979156
Bc_Ga0417192_01_rn27	Bcer	Pairwise with Pkor	0.045169495
Bc_Ga0417192_01_rn28	Bcer	Pairwise with Pkor	-0.388147234
Bc_Ga0417192_01_rn29	Bcer	Pairwise with Pkor	0.001232446
Bc_Ga0417192_01_rn30	Bcer	Pairwise with Pkor	0.313891715
Bc_Ga0417192_01_rn31	Bcer	Pairwise with Pkor	-0.269966359
Bc_Ga0417192_01_rn32	Bcer	Pairwise with Pkor	-2.028115141
Bc_Ga0417192_01_rn33	Bcer	Pairwise with Pkor	-0.29244179
Bc_Ga0417192_01_rn34	Bcer	Pairwise with Pkor	0.719224662
Bc_Ga0417192_01_rn35	Bcer	Pairwise with Pkor	-0.415426256
Bc_Ga0417192_01_rn36	Bcer	Pairwise with Pkor	0.6299479
Bc_Ga0417192_01_rn37	Bcer	Pairwise with Pkor	-0.420818619
Bc_Ga0417192_01_rn38	Bcer	Pairwise with Pkor	-1.212153666
Bc_Ga0417192_02_rn01	Bcer	Pairwise with Pkor	0.740324901
Bc_Ga0417192_02_rn02	Bcer	Pairwise with Pkor	0.235681414
Bc_Ga0417192_02_rn03	Bcer	Pairwise with Pkor	0.882132752
Bc_Ga0417192_02_rn04	Bcer	Pairwise with Pkor	-0.780284088
Bc_Ga0417192_03_rn01	Bcer	Pairwise with Pkor	1.281161066
Bc_Ga0417192_03_rn02	Bcer	Pairwise with Pkor	-0.615075176
Bc_Ga0417192_01_rn01	Bcer	Three-member	-0.185646868
Bc_Ga0417192_01_rn02	Bcer	Three-member	1.329858242
Bc_Ga0417192_01_rn03	Bcer	Three-member	2.310556774
Bc_Ga0417192_01_rn04	Bcer	Three-member	0.105662443
Bc_Ga0417192_01_rn05	Bcer	Three-member	1.884986542
Bc_Ga0417192_01_rn06	Bcer	Three-member	-0.139674174
Bc_Ga0417192_01_rn07	Bcer	Three-member	2.490623776
Bc_Ga0417192_01_rn08	Bcer	Three-member	-0.080605489
